Amount,Company,Item,Item Type,Nutritional Category,Qty,Serving Size
?,Arbys,Arbys Apple Turnover,Desserts,Sugars,0,89 grams
?,Arbys,Arbys Arby-Q,Sandwiches,Sugars,0,182 grams
?,Arbys,Arbys Arby s Sauce,Sauces,Sugars,0,14 grams
?,Arbys,Arbys Arbys Melt with Cheddar,Sandwiches,Sugars,0,148 grams
?,Arbys,Arbys Bacon Cheddar Deluxe,Sandwiches,Sugars,0,231 grams
?,Arbys,Arbys Baked Potato (plain),Sides,Sugars,0,326 grams
?,Arbys,Arbys Baked Potato sour cream,Sides,Sugars,0,397 grams
?,Arbys,Arbys Barbeque Sauce,Sauces,Sugars,0,28 grams
?,Arbys,Arbys Big Montana,Sandwiches,Sugars,0,313 grams
?,Arbys,Arbys Biscuit (plain),Sides,Sugars,0,82 grams
?,Arbys,Arbys Blueberry Muffin,Breakfast,Sugars,0,64 grams
?,Arbys,Arbys Boston Clam Chowder Soup,Soups,Sugars,0,227 grams
?,Arbys,Arbys Breaded Chicken Fillet,Sandwiches,Sugars,0,205 grams
?,Arbys,Arbys Broccoli n Cheddar Potato,Sides,Sugars,0,447 grams
?,Arbys,Arbys Butterfinger Polar Swirl,Desserts,Sugars,0,329 grams
?,Arbys,Arbys Cheddar Curly Fries,Sides,Sugars,0,120 grams
?,Arbys,Arbys Cheesecake (plain),Desserts,Sugars,0,87 grams
?,Arbys,Arbys Cherry Turnover,Desserts,Sugars,0,89 grams
?,Arbys,Arbys Chicken Cordon Bleu,Sandwiches,Sugars,0,240 grams
?,Arbys,Arbys Chicken Fingers,Sides,Sugars,0,102 grams
?,Arbys,Arbys Chicken Noodle Soup,Soups,Sugars,0,227 grams
?,Arbys,Arbys Chocolate Chip Cookie,Desserts,Sugars,0,27 grams
?,Arbys,Arbys Chocolate Shake,Desserts,Sugars,0,340 grams
?,Arbys,Arbys Cinnamon Nut Danish,Sides,Sugars,0,100 grams
?,Arbys,Arbys Cream of Broccoli Soup,Soups,Sugars,0,227 grams
?,Arbys,Arbys Croissant (plain),Sides,Sugars,0,57 grams
?,Arbys,Arbys Curly Fries,Sides,Sugars,0,100 grams
?,Arbys,Arbys Deluxe Baked Potato,Sides,Sugars,0,432 grams
?,Arbys,Arbys Fish Fillet,Sandwiches,Sugars,0,220 grams
?,Arbys,Arbys French Dip Sub Roll,Sandwiches,Sugars,0,195 grams
?,Arbys,Arbys French Toastix with syrup,Breakfast,Sugars,0,164 grams
?,Arbys,Arbys Garden Salad,Salads,Sugars,0,337 grams
?,Arbys,Arbys Giant Roast Beef,Sandwiches,Sugars,0,228 grams
?,Arbys,Arbys Grilled Chicken BBQ,Sandwiches,Sugars,0,201 grams
?,Arbys,Arbys Grilled Chicken Deluxe,Sandwiches,Sugars,0,230 grams
?,Arbys,Arbys Ham n Cheese,Sandwiches,Sugars,0,169 grams
?,Arbys,Arbys Ham n Cheese Melt,Sandwiches,Sugars,0,141 grams
?,Arbys,Arbys Heath Polar Swirl,Desserts,Sugars,0,329 grams
?,Arbys,Arbys Horsey Sauce,Sauces,Sugars,0,14 grams
?,Arbys,Arbys Hot Ham n Swiss Sub Roll,Sandwiches,Sugars,0,263 grams
?,Arbys,Arbys Italian Sub Roll,Sandwiches,Sugars,0,286 grams
?,Arbys,Arbys Jamocha Shake,Desserts,Sugars,0,340 grams
?,Arbys,Arbys Junior Roast Beef,Sandwiches,Sugars,0,126 grams
?,Arbys,Arbys Large Homestyle Fries,Sides,Sugars,0,142 grams
?,Arbys,Arbys Light Roast Chicken Delux,Sandwiches,Sugars,0,195 grams
?,Arbys,Arbys Lumberjack Mixed Veg Soup,Soups,Sugars,0,227 grams
?,Arbys,Arbys Medium Homestyle Fries,Sides,Sugars,0,114 grams
?,Arbys,Arbys Nonfat Vanilla Shake,Desserts,Sugars,0,453 grams
?,Arbys,Arbys Oreo Polar Swirl,Desserts,Sugars,0,329 grams
?,Arbys,Arbys Peanut Butter Cup Polar Swirl,Desserts,Sugars,0,329 grams
?,Arbys,Arbys Philly Beef n Swiss Sub Roll,Sandwiches,Sugars,0,294 grams
?,Arbys,Arbys Potato Cakes,Sides,Sugars,0,85 grams
?,Arbys,Arbys Potato Soup,Soups,Sugars,0,227 grams
?,Arbys,Arbys Regular Roast Beef,Sandwiches,Sugars,0,154 grams
?,Arbys,Arbys Roast Beef & Havarti Panini,Sandwiches,Fiber,0,423 grams
?,Arbys,Arbys Roast Beef & Havarti Panini,Sandwiches,Sugars,0,423 grams
?,Arbys,Arbys Roast Beef Deluxe,Sandwiches,Sugars,0,182 grams
?,Arbys,Arbys Roast Beef Sub Roll,Sandwiches,Sugars,0,306 grams
?,Arbys,Arbys Roast Chicken & Pesto Panini,Sandwiches,Fiber,0,388 grams
